1547528724160825967,0.016207
1547528799566227912,0.51845
1547528827368311882,0.81542
1547528867571075916,1.0474
1547528894172962903,1.1162
1547528986979594945,1.1913
1547529010181519031,1.2278
1547529042783652067,1.254
1547529086186584949,NaN
1547529321603363037,NaN
1547529364806327104,1.2933
1547529391808312892,1.2644
1547529423410594940,1.2435
1547529442611777067,1.1952
1547529470613938093,1.1294
1547529493215475082,0.95961
1547529514216989994,0.80357
1547529541418802976,0.32835
1547529592822457075,0.30095
1547529630625140905,1.4696
1547529650826718091,1.5079
1547529675628701925,1.5039
1547529708030849933,1.4926
1547529732832628965,1.4747
1547529785436461925,NaN
1547529834040005922,NaN
1547529872742778062,NaN
1547529898944755077,1.5909
1547529925546634912,1.6404
1547529947148217916,1.6796
1547529967749798059,1.8951
1547529990351161003,2.3105
